Blade_pressure,Roughness,Ink_pct,Ink_temperature,Band_type
20,0.75,50.5,17,band
20,0.75,54.9,15,noband
30,?,53.8,16,noband
30,0.312,55.6,16,noband
30,0.75,57.5,17,noband
28,0.438,53.8,16.8,noband
30,0.75,62.5,16.5,noband
28,0.75,62.5,16.5,noband
60,0.75,60.2,12,band
32,1,45.5,16,noband
30,0.75,48.5,16,noband
40,0.75,52.6,14,band
30,1,50,15,band
25,0.625,59.5,14.5,band
20,1,49.5,16,noband
?,1,62.5,15,band
?,?,62.5,14,noband
?,?,58.8,15.5,noband
?,0.75,54.9,16.4,noband
?,0.75,56.2,16.5,noband
30,0.812,58.8,16,noband
30,0.812,62.5,15,noband
25,0.812,58.1,16.3,noband
30,1,62.5,15.8,band
25,1,57.5,14.5,band
20,1,57.5,14,band
30,1,57.5,15,noband
25,1,58.8,15.2,noband
30,0.75,58.8,15,band
35,0.75,58.8,17,band
28,0.75,45,16,noband
30,0.75,43.5,16.5,noband
22,0.625,54.3,14.1,noband
20,0.625,53.2,14,noband
35,0.75,58.8,17,band
?,0.875,63,15.4,noband
30,0.625,58.1,15,band
28,1,58.8,16,noband
31,1,54.3,15,noband
34,0.75,62.5,15,noband
32,1,58.1,16,noband
?,0.875,61.7,15.4,noband
30,0.875,55.6,16,noband
30,0.812,55.6,16.3,noband
24,0.75,58.1,15.8,noband
20,0.75,56.2,16.6,noband
35,0.812,58.8,17,noband
25,0.625,57.5,13,noband
25,0.625,58.8,14,noband
34,0.5,61,15.9,noband
16,0.75,50.5,17,band
20,0.75,50.5,16.5,band
28,0.75,58.8,15,noband
25,0.875,58.8,16.5,noband
30,0.625,62.5,18,noband
35,?,55.6,17,noband
46,0.75,58.8,12,noband
50,0.75,62.5,16,noband
25,0.625,52.6,14.6,band
30,0.875,54.9,24.5,band
16,0.75,51.5,14.43,band
20,0.75,52.1,15,noband
20,0.75,49,15,noband
18,0.75,62.5,14.2,band
30,0.75,62.5,14,band
26,1,62.5,16.4,band
30,0.562,62.5,18.5,band
20,0.625,57.5,14,noband
30,1,62.5,16.2,noband
?,1,59.5,14.1,noband
56,0.75,53.2,14.02,noband
34,0.5,43.5,15.5,noband
20,0.625,55.6,16,noband
20,0.625,53.2,14,noband
?,0.75,51.5,15.3,noband
?,1,59.5,15.2,noband
?,0.75,58.8,16,noband
23,0.75,56.8,14.5,band
?,0.75,53.2,14,noband
31,0.5,54.9,15.1,noband
30,0.938,55.6,16.1,noband
?,0.75,55.6,15,noband
20,0.625,56.8,16.5,noband
20,0.625,55.6,16.1,noband
30,0.562,55.6,16,noband
30,0.625,50,14.7,band
27,0.75,58.8,14.9,noband
30,0.625,55.6,12.5,band
20,0.625,50,15.1,noband
24,0.75,58.8,15.6,noband
34,1,62.5,15.3,noband
30,0.938,62.5,16.8,noband
42,0.625,49.5,14,band
30,0.875,53.2,15.5,band
20,1.25,49,15,noband
20,1.25,50.5,15.5,noband
30,0.812,56.8,16,noband
30,0.562,50.5,16,noband
30,0.812,49.5,16,noband
30,0.562,44.6,16,noband
20,1.25,54.3,14,noband
20,1.25,52.1,14,noband
?,0.75,58.8,15,noband
?,0.75,55.6,15.5,noband
22,0.75,62.5,14,band
28,1,60,15,band
?,1,58.8,16.3,band
22,0.75,53.2,15.5,band
26,0.75,53.2,16,band
25,0.625,50,13.9,band
25,0.625,56.8,15.2,band
20,0.75,56.2,14,band
38,0.812,58.8,16,noband
30,0.562,50.5,16,noband
?,0.75,58.8,17,noband
?,0.625,59.5,13.34,noband
47,0.625,51,13.86,noband
?,0.75,46.7,15.6,noband
29,1,56.2,13,band
28,1.125,64.1,13.6,band
25,0.625,45.5,14.2,band
20,0.75,76.9,15.3,band
25,0.625,52.1,15,band
20,0.625,47.6,15,band
50,0.75,62.5,15.7,noband
58,0.75,59.5,15.5,noband
28,0.562,56.2,16,noband
40,0.812,53.8,15,noband
30,0.812,58.8,16,noband
30,0.562,58.8,16,noband
20,1,55.6,14.2,noband
20,0.75,54.3,16,noband
38,0.5,55.6,15.8,noband
34,0.5,56.8,15.4,noband
20,0.625,54.3,15.5,noband
30,0.625,71.4,15.5,band
28,0.5,60.2,16.5,band
30,0.812,55.6,15.5,noband
30,0.75,58.8,16,noband
30,0.75,52.1,16,noband
40,0.562,52.6,15.5,noband
28,0.75,57.5,14.9,noband
25,0.75,54.3,15,noband
20,0.812,53.8,14.5,noband
28,0.938,58.8,16,noband
32,0.938,58.8,16,noband
26,1,58.8,15.5,noband
31,0.75,60,15,noband
50,0.75,62.5,17,band
28,0.562,55.6,16,noband
25,0.75,48.1,15.4,noband
26,0.75,50,14.9,noband
?,?,46.3,13.4,band
30,0.875,59.5,15.1,band
30,0.25,52.6,16.02,noband
28,0.312,52.6,15.03,noband
30,0.75,52.6,17,noband
30,0.75,52.6,17,noband
35,0.75,62.5,16,noband
21,0.75,55.6,15.6,noband
22,0.75,55.6,16.1,noband
30,0.75,52.6,15.5,noband
30,0.812,58.1,15,band
32,0.75,56.8,16.3,band
32,0.75,60,14,band
30,0.562,57.5,16.5,band
30,0.625,62.5,16.2,band
?,1,55.6,16,band
35,1,63.3,14.5,band
40,0.812,62.5,16,band
20,1,54.3,15,band
?,1,62.5,18,band
?,0.75,58.8,16,band
?,0.25,62.2,14.5,band
24,0.562,55.5,15.4,noband
23,0.812,59.5,16,noband
27,0.5,41.3,16.4,band
24,0.25,41.3,14.5,band
?,1,47.2,13,band
22,0.875,49.5,16,band
20,0.75,61.7,14,noband
30,0.75,58.8,15,noband
28,0.625,54.3,16,noband
60,0.625,56.8,15,noband
55,0.625,62.5,15.5,noband
?,1,58.1,15.59,noband
25,0.625,53.8,16,noband
33,0.625,65.2,14,band
38,0.375,50,16,band
?,1,52.6,15,band
30,0.5,44.2,18,band
55,0.75,53.2,14.3,band
20,1,54.3,14.5,noband
32,?,52.6,14.6,noband
25,0.75,59.8,15,noband
35,1,59.3,15,noband
30,1,61.7,15,noband
60,0.75,54.9,14,band
?,1,47.2,13.23,noband
?,1,56.2,14.42,noband
50,0.75,56.7,14.5,noband
?,1,55.5,16.08,noband
30,0.75,44.2,15,band
30,?,58.8,15.8,noband
30,0.812,57.4,15.5,noband
28,0.75,58.8,15,noband
28,0.75,58.8,15,noband
20,?,41.3,14.1,noband
52,0.625,55.5,17,band
20,0.75,58.8,14.5,band
70,0.75,55.5,14.3,band
?,?,56.2,15,noband
?,?,56.2,15,noband
30,0.625,62.5,15.9,noband
30,0.625,58.8,16.3,noband
20,0.812,58.8,16,noband
25,0.875,42.7,16,noband
30,0.75,58.8,15,noband
30,0.75,58.8,15,noband
38,0.75,62.5,16.3,noband
38,0.75,58.8,15,noband
20,?,43.5,14.6,noband
?,0.75,49.5,16,noband
?,0.75,51.5,16.5,noband
49,0.625,58.8,13,band
30,0.75,50,14,noband
28,0.75,49,13,noband
30,?,54.3,15.5,noband
34,0.625,50,15,noband
?,0.75,58.8,15,band
30,1,41.7,15.6,band
30,0.625,68.2,13.5,band
40,0.75,58.1,14,band
24,0.875,58.8,16,noband
32,0.625,57.5,15,band
24,0.812,58.8,15.5,noband
30,0.75,47.6,17,band
25,0.75,61.1,15,noband
20,0.75,45,14,noband
20,0.625,55.5,14.5,band
25,1,56.1,15.1,band
35,0.75,55.5,13.5,band
45,?,44.2,16.5,noband
60,?,45.4,16,noband
28,0.625,58.8,14,noband
?,0.75,53.8,14.6,noband
?,0.75,52.7,13.8,noband
30,0.75,61.1,14,band
20,0.875,58.8,14.7,noband
32,0.812,58.8,15.3,noband
?,0.75,62.5,15,noband
?,0.75,62.5,15,noband
26,0.625,50.5,16,band
50,0.625,41,18,noband
58,0.625,42,14.5,noband
50,0.75,56.8,14,noband
45,0.375,42.4,14.8,noband
29,1,52.6,14.2,noband
41,1,58.8,13,noband
20,0.75,42.7,14,noband
25,0.75,41.7,13.1,noband
25,1,58.8,15.5,noband
25,1,58.8,15.5,noband
35,0.75,58.5,15,noband
20,0.75,61.1,15,noband
20,0.812,58.8,15,noband
30,0.5,58.8,16,band
?,0.875,49.5,15.2,noband
?,0.875,52.6,14.7,noband
23,0.5,47.6,16.2,noband
55,0.75,41,16.5,noband
30,0.5,51.5,15.8,noband
50,0.75,42,14.7,noband
?,1,51,15.2,noband
?,1,55.6,14.7,noband
32,0.5,58.8,15,band
35,0.5,58.8,15,band
26,0.25,56.8,17,noband
34,0.312,56.8,14,noband
?,1,58.8,15.6,noband
?,1,58.5,15.8,noband
42,0.75,52.6,14.5,noband
45,0.75,58.8,13.5,noband
25,0.75,54.9,16.2,noband
50,0.75,54.3,14.8,noband
45,0.75,51.5,14.3,noband
30,0.75,58.8,14,noband
25,0.75,53.2,15.8,noband
30,0.812,58.8,13.6,noband
25,0.75,45,16.8,noband
30,0.812,58.8,14.6,noband
26,0.5,52.1,18,noband
33,0.75,56.8,15,noband
?,0.75,55.5,15.5,noband
?,0.75,55.5,16,noband
30,1,48.1,14.9,noband
30,1,53.8,14.7,noband
30,1,47.6,15.3,noband
30,1,52.6,14.2,noband
28,0.75,54.3,15,band
25,0.625,50.5,15.2,noband
25,0.75,49,15.6,noband
30,0.812,51,15.4,noband
30,0.75,58.8,16.1,noband
?,?,50,15,noband
?,?,48.1,15,noband
55,0.625,57.5,14,noband
55,?,49.5,14,noband
36,1,65.2,15.2,band
33,1,65.2,15,band
32,0.5,58.8,16,band
28,0.75,65.2,15.5,band
45,0.75,45.8,14.5,noband
32,0.375,51.5,14.9,noband
40,0.75,47.6,14.5,noband
28,0.25,52.6,15,noband
?,?,50.5,13,noband
?,?,58.8,12,noband
?,?,62.5,15.5,noband
?,?,62.5,14,noband
38,0.25,49.5,14.5,noband
30,0.375,51.5,14,noband
30,0.625,65.2,14,band
32,0.625,60,14,band
30,0.5,60,14.5,band
22,1,52.1,17,band
32,0.25,52.2,17,band
35,0.812,66.7,16,noband
30,0.875,60.2,15,noband
20,0.75,62.5,14.5,noband
20,0.75,62.5,14.5,noband
35,0.75,57.7,15,noband
25,0.625,43.5,14.5,noband
?,1,55.6,14,noband
?,1,44.6,16,noband
30,0.75,48.7,15.2,band
40,0.625,54.3,16.8,noband
25,0.75,45.9,15,band
28,0.75,48.5,14,band
24,0.25,60,18,band
40,0.625,58.1,16.5,band
45,0.625,58.8,18,noband
25,0.625,44.6,14,band
28,0.25,58.8,14,noband
25,0.25,58.8,13,noband
30,0.75,50,14,noband
30,0.75,50,15,noband
30,0.812,60,16.3,noband
30,1.25,60.2,14.9,noband
?,0.75,62.5,13,band
28,0.75,53.2,15,band
30,0.75,46.3,16,band
25,1.125,48.5,17.5,noband
22,1,50,17,noband
?,0.938,62.5,16,band
30,0.625,61.9,16.1,band
?,0.75,62.5,13,band
32,0.375,62.5,15.9,band
25,0.75,58.1,15.5,band
?,0.938,58.3,17.2,band
30,0.625,47.6,17,band
20,0.438,46.3,17,band
52,0.75,55,13.5,noband
35,0.312,59.5,16.4,noband
24,0.25,59.5,15,band
28,0.75,62.5,13,band
34,0.5,62.5,15.6,noband
32,0.5,62.5,15.8,noband
25,1,52.6,14.9,noband
20,?,54.3,14,noband
30,0.75,51,16,noband
30,0.75,50.6,15.5,noband
45,0.75,62.5,13.6,band
55,0.75,62.5,15,band
20,0.625,56.2,14,band
28,0.75,53.4,16.2,band
35,0.75,68,16,band
28,0.312,62.5,16.1,noband
29,0.312,58.1,20,noband
28,0.5,48.1,18.1,noband
28,0.818,46.5,16,noband
24,0.812,58.8,16.53,noband
25,0.625,66.7,14,band
34,0.5,62.5,15,band
50,0.75,53.9,15,band
45,0.75,60.2,14,band
20,0.75,48.5,15,noband
20,1,51,14,noband
20,1,58.9,14,noband
40,1,62.5,15.8,noband
32,1,47.6,14.6,noband
20,0.625,58.8,14.8,noband
33,0.75,52.1,16,noband
30,0.75,62.5,17,band
35,1,55.5,15,band
20,0.625,60.2,15.5,noband
33,0.625,?,20,band
40,0.812,58.8,15,band
32,0.5,62.5,12.7,noband
20,0.625,52.6,15.5,noband
20,0.625,62.5,16,noband
46,0.625,60.2,16,noband
48,0.625,63.9,16,noband
20,0.875,47.6,16.5,band
33,0.75,56.8,16,band
28,1,61.7,14.5,band
22,0.625,60,16,band
26,0.75,58.8,14,band
29,?,58.8,14.8,band
30,0.625,58.8,16,band
50,0.75,60.2,13.3,noband
50,0.75,63.9,13.3,noband
26,1,62.5,15.5,noband
20,0.625,47.6,15.1,noband
20,0.625,44.2,15.1,noband
28,0.75,58.8,15,band
28,0.375,58.8,16,band
32,0.625,56.25,22.2,band
24,0.25,58.8,14,noband
26,0.625,62.5,15.5,noband
30,0.5,58.8,15,noband
30,0.75,58.8,15,noband
30,0.75,58.8,15,noband
30,1,62.5,16.1,noband
43,1,62.5,15.7,noband
30,0.812,58,15.5,noband
28,0.75,60.2,15.5,noband
30,0.75,50.5,16,band
50,0.75,58.8,15,band
30,0.056,58.8,17,band
56,0.75,47.6,15,noband
27,0.5,52.1,14,noband
25,0.375,52.8,15.5,noband
?,0.188,53.8,15,noband
?,0.25,55.6,15.7,noband
32,0.375,55.6,13.7,noband
28,0.5,56.8,14.9,noband
20,0.625,52.6,15,noband
25,0.625,52.6,15,noband
25,0.5,58.8,16,noband
50,0.75,56.8,17.58,noband
50,0.75,54.3,16.66,noband
50,0.75,47.2,15,noband
50,0.625,58.8,15,noband
50,0.625,54.9,15,noband
?,0.75,53.8,17,noband
30,0.812,56.8,16.1,noband
25,0.562,55,16.1,noband
30,0.562,52.1,15,noband
30,0.812,58.8,16.4,noband
28,?,58.8,16.1,noband
30,?,55,16.1,noband
30,0.75,56.2,16.2,band
30,1,58.8,14.8,band
25,1,54,15,band
28,0.5,50,16,band
28,0.5,53,16,band
30,0.75,52.6,15.8,band
35,1,58.8,14.5,band
22,0.625,58.8,14.5,band
30,0.75,58.8,14,band
28,1,58.8,21,band
30,0.75,58.8,16,band
28,0.625,59,15,band
32,0.25,56.8,14.3,band
32,0.75,51,15.2,band
28,0.625,51,15,band
30,0.625,53.2,16.5,band
27,0.312,53.2,15.7,band
28,0.625,53.2,14.9,band
25,0.75,52.6,14.5,band
30,0.625,58.8,17,band
55,?,50,13.1,band
24,1,58.8,15.2,band
50,0.625,47.2,15,band
30,0.812,58.8,17,band
30,0.562,58.8,14,band
50,?,58.8,11.2,band
50,0.75,58.8,15,band
50,0.625,54.9,16,band
30,0.625,58.1,15,band
30,0.375,58.1,15,band
40,0.75,51,15,band
25,0.625,?,16.1,band
34,0.625,?,14.5,band
20,0.625,?,14,band
25,0.75,?,15.5,band
40,0.562,?,15,band
29,0.5,?,16.4,band
20,0.75,?,16,band
30,0.5,?,17,band
30,0.75,?,13.5,band
20,0.625,?,17,band
26,0.188,?,15,band
35,0.875,?,21,band
28,0.812,?,17.5,band
30,0.812,?,16,band
32,0.75,?,15.1,band
30,0.625,?,14.8,band
22,0.75,?,14.5,band
23,?,?,14.5,band
35,0.625,?,15.5,band
28,0.75,?,15.1,band
30,?,?,15.7,band
22,0.5,?,15,band
25,0.625,?,14.8,band
40,0.625,?,14.1,band
29,0.5,?,15.1,band
24,0.5,?,15,band
30,0.75,?,15.5,band
28,1,?,14.2,band
30,0.625,?,15.1,band
25,0.25,?,17,band
28,0.5,?,16.2,band
60,0.75,?,14.5,band
50,0.75,?,16,band
26,0.625,?,16.5,band
30,0.75,?,16.22,band
?,0.25,?,16.5,band
25,0.312,?,16,band
30,0.5,?,15,band
25,0.75,?,16.5,band
27,1.125,?,14,band
34,0.625,?,16.5,band
25,0.75,?,17,band
27,0.625,?,17,band
40,0.75,?,15.5,band
30,0.812,?,15.5,band
35,0.75,?,17,band
28,?,?,16,band
30,1,?,14.9,band
32,1,?,18.3,band
25,1,?,18,band
34,0.5,?,16.1,band
34,1,?,16.5,band
34,1,?,16.4,band
25,0.75,?,14.2,band
