Age,PlayerValue
24,625
23,1.4
24,725
20,130
32,350
18,260
26,90
30,325
24,1.1
36,1.3
21,90
32,1
21,13.5
24,90
22,350
27,6
19,950
19,150
29,425
29,675
24,500
26,1.2
28,1.8
29,2.4
31,550
18,80
30,3
21,9.5
23,6.5
26,350
21,650
26,130
21,400
26,270
20,975
21,600
21,280
21,375
21,60
27,775
34,550
28,900
26,27
27,2.9
21,220
20,3.3
28,2.4
27,9
31,1.6
23,425
20,210
26,625
25,975
25,2.6
32,3.8
29,675
23,750
21,5
25,950
32,2.4
23,850
28,1.1
19,875
27,825
19,2.2
32,525
33,190
37,750
34,475
30,1.1
19,800
23,4.4
21,210
26,375
27,300
30,425
25,1.1
30,625
21,170
31,325
20,400
17,50
22,450
23,2.5
22,750
24,1
22,1.9
38,70
19,170
17,210
27,2.1
30,1
30,40
19,975
23,110
29,725
21,1.1
23,600
20,4.7
20,775
75,75
